INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("pisadura", "hematoma");
INSERT INTO SINONIMOS VALUES("oxiquinolina", "oxine");
INSERT INTO SINONIMOS VALUES("inchaço", "nódulo");
INSERT INTO SINONIMOS VALUES("anomalia congênita", "defeito de nasçenca");
INSERT INTO SINONIMOS VALUES("anomalias", "anomalias congênitas");
INSERT INTO SINONIMOS VALUES("aborto espontâneo", "aborto espontâneo");
INSERT INTO SINONIMOS VALUES("anterior", "história");
INSERT INTO SINONIMOS VALUES("Criminoso", "ilegal");
INSERT INTO SINONIMOS VALUES("aborto habitual", "aborto recorrente");
INSERT INTO SINONIMOS VALUES("gravidez de terminação", "aborto");
INSERT INTO SINONIMOS VALUES("centros médicos acadêmicos", "hospital de ensino");
INSERT INTO SINONIMOS VALUES("corpos", "corpo");
INSERT INTO SINONIMOS VALUES("acetil-coa c-acetiltransferase", "tiolase");
INSERT INTO SINONIMOS VALUES("beta-n-acetilglucosaminidase", "nagase");
INSERT INTO SINONIMOS VALUES("equilíbrio", "saldo base");
INSERT INTO SINONIMOS VALUES("acústico", "auditivo");
INSERT INTO SINONIMOS VALUES("obstrução completa", "obturação");
INSERT INTO SINONIMOS VALUES("obstrução adquirida", "estenose de adultos");
INSERT INTO SINONIMOS VALUES("acrocefalossindactilia", "síndrome de apert");
INSERT INTO SINONIMOS VALUES("acrodinia", "doença cor de rosa");
INSERT INTO SINONIMOS VALUES("actihemilo", "solcoseril");
INSERT INTO SINONIMOS VALUES("actinomicose cervicofacial", "mandíbula irregular");
INSERT INTO SINONIMOS VALUES("armado", "ativado");
INSERT INTO SINONIMOS VALUES("doença hepática", "hepatite");
INSERT INTO SINONIMOS VALUES("proteínas", "reagentes de fase");
INSERT INTO SINONIMOS VALUES("intestino de insuficiência vascular", "isquemia mesentérica");
INSERT INTO SINONIMOS VALUES("nucleotídeos", "fosfato");
INSERT INTO SINONIMOS VALUES("dependovirus", "adeno associado ao vírus");
INSERT INTO SINONIMOS VALUES("estrutura adenoidal", "tonsila faríngea");
INSERT INTO SINONIMOS VALUES("adenolinfoma", "tumor do warthin");
INSERT INTO SINONIMOS VALUES("adenoma", "glândula tumoral");
INSERT INTO SINONIMOS VALUES("adenosina", "ademosine");
INSERT INTO SINONIMOS VALUES("amp", "monofosfato de adenosina");
INSERT INTO SINONIMOS VALUES("Atpase de troca-na-k", "bomba de potássio de sódio");
INSERT INTO SINONIMOS VALUES("adenilato quinase", "mioquinase");
INSERT INTO SINONIMOS VALUES("aderências", "partes do corpo de órgãos de fixação anormal");
INSERT INTO SINONIMOS VALUES("adiposo", "gordinho");
INSERT INTO SINONIMOS VALUES("adipose dolorosa", "doença do dercum");
INSERT INTO SINONIMOS VALUES("fêmea", "garotas");
INSERT INTO SINONIMOS VALUES("hipofunção da glândula", "insuficiência");
INSERT INTO SINONIMOS VALUES("adrenalina", "epinefrina");
INSERT INTO SINONIMOS VALUES("adrenérgico", "agonista");
INSERT INTO SINONIMOS VALUES("corticotropina", "Hormônio adrenocorticotrópico");
INSERT INTO SINONIMOS VALUES("sul do saara", "subsaariana");
INSERT INTO SINONIMOS VALUES("ageusia", "perda de sabor");
